Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MotorDriverPCB.PrjPCB|ReportField=ProjectFullPath~C:\Users\Thomas\Dropbox\DC motor driver project\MotorDriverPCB.PrjPCB|ReportField=Title~Bill of Materials For Project [MotorDriverPCB.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~108|ReportField=ReportTime~00:21:36|ReportField=ReportDate~05-09-2019|ReportField=ReportDateTime~05-09-2019 00:21:36|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~05-09-2019|ReportField=CurrentTime~00:21:17|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Thomas\Dropbox\DC motor driver project\MotorDriverPCB.SchDoc|ReportField=DocumentName~MotorDriverPCB.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~04-09-2019|ReportField=Organization~|ReportField=ProjectName~MotorDriverPCB.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~MotorDriverPCB.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Thomas\Dropbox\DC motor driver project\MotorDriverPCB.PrjPCB|ReportField=PCBDataSourceFileName~MotorDriverPCB.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\Thomas\Dropbox\DC motor driver project\MotorDriverPCB.PcbDoc
10uF, 50V|GENERIC CAPACITOR NON POLARISED 1206|C1|1206C-GENERIC|1206C-10U-35V-X7R|1
100nF|GENERIC CAPACITOR NON POLARISED 0603|C2, C4, C5, C6, C8, C10, C13, C15, C17, C21, C22, C24, C26, C31, C32, C33, C36|0603C-GENERIC|0603C-100NF-25V-X7R-TDK|17
10uF, 6.3V|CAPACITOR 0805 CERAMIC|C3|0805C-GENERIC|0805C-10UF-6V3-X5R-PAN|1
1uF, 10V|CAPACITOR 0603 CERAMIC|C7, C9, C18, C29|0603C-GENERIC|0603C-1UF-35V-X5R-TAY|4
4u7, 6.3V|GENERIC CAPACITOR NON POLARISED 0603|C11, C14, C23, C25, C27|0603C-GENERIC|0603C-4U7-6V3-X5R-KEM|5
10nF|GENERIC CAPACITOR NON POLARISED 0603|C12, C20, C28, C30|0603C-GENERIC|0603C-10NF-50V-X7R-MUR|4
18pF, NP0/COG 1%|GENERIC CAPACITOR NON POLARISED 0603|C16, C19|0603C-GENERIC|0603C-15PF-50V-C0G-MUR|2
470uF, 35V|Surface mount, Polarized Electrolytic Aluminum Capacitor|C34, C35|SMT_8x10.5|AluCap_SMT|2
DNP (NSR0530HT1G)|Diode Schottky|D1|SOD323|DIODE_SCHOTTKY|1
CDBA140-G|Diode Schottky|D2, D3|DO-214AC-SMA|DIODE_SCHOTTKY|2
SMBJ26A|Diode SMD Transil|D4|DO-214AA|DIODE_TVS|1
LED RGB Individual|LED RGB Individual|D5|LED-3535-6|LED RGB Individual|1
0ZCJ0035FF2G|PTC Resettable Fuse|F1|1206C-GENERIC|FUSE-PTC|1
BK1608TS102|FERRITE BEAD SMD|FB1, FB2|0603FB-GENERIC|0603FB-GENERIC|2
SCREW-HOLE|PCB Screw hole|H1, H2, H3, H4|Screw-hole-3mm|SCREW-HOLE|4
USB Type B|Connector SMD-THD USB Type B middle mount|J1|USB-MINI-B|USB-Type-B|1
